Titulo;Link
 'Bolsonaro vai fazer com que muita gente não se vacine', diz governador do ES  ;https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2020/12/15/governador-do-es-bolsonaro-vai-fazer-com-que-muita-gente-nao-se-vacine.htm
 A cada 13 dias, um estupro ocorre dentro de unidades de saúde de São Paulo  ;https://www.uol.com.br/universa/noticias/redacao/2020/12/15/a-cada-13-dias-um-caso-de-estupro-ocorre-dentro-de-unidades-de-saude-de-sp.htm
" PF: Governo Witzel pagou dívida em troca de propina; prejuízo seria de R$ 50 mi  ";https://noticias.uol.com.br/politica/ultimas-noticias/2020/12/15/restos-a-pagar-foram-usados-para-recebimento-de-propina-no-governo-witzel.htm
 RJ: jovens achados mortos após ação policial tinham marcas de tiro no corpo  ;https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/12/15/rj-jovens-achados-mortos-apos-acao-policial-tinham-marcas-de-bala-no-corpo.htm
" Carro cai de ponte e 5 crianças e um homem morrem no RJ; menina está desaparecida  ";https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/12/15/carro-cai-em-rio-e-criancas-e-um-homem-morrem-no-rj-crianca-esta-sumida.htm
" Saque de novo lote do PIS é liberado; veja se você tem direito a até R$ 1.045  ";https://economia.uol.com.br/noticias/redacao/2020/12/15/abono-salarial-pis-pasep-dinheiro-caixa-tem-saque-nascidos-dezembro.htm
 Putin felicita Biden por vitória e deixa presidente Bolsonaro por último  ;https://noticias.uol.com.br/colunas/jamil-chade/2020/12/15/putin-felicita-binden-e-deixa-bolsonaro-por-ultimo.htm
 Quadrilha usa nome de analista para assinar textos de ódio contra políticos  ;https://noticias.uol.com.br/politica/ultimas-noticias/2020/12/15/nome-usado-ataques-politicos.htm
 Dívida pode deixar Brasil sem voto no TPI, que avalia caso contra Bolsonaro  ;https://noticias.uol.com.br/colunas/jamil-chade/2020/12/15/calote-do-brasil-e-o-maior-em-tribunal-internacional-pais-pode-perder-voto.htm
 Morre aos 88 anos o jornalista Orlando Duarte, vítima de covid-19  ;https://www.uol.com.br/esporte/futebol/ultimas-noticias/2020/12/15/morre-orlando-duarte.htm
 Lewandowski: de reserva de ex-Palmeiras a favorito  a melhor do mundo  ;https://www.uol.com.br/esporte/reportagens-especiais/lewandowski-como-polones-virou-melhor-do-mundo-e-foi-melhor-que-neymar-em-2020/index.htm
Receita acusa Globo de 'associação criminosa' com artistas ;https://noticiasdatv.uol.com.br/noticia/televisao/receita-federal-acusa-globo-de-associacao-criminosa-com-artistas-47747
Muricy se despede da Globo e 'culpa' São Paulo por volta ;https://www.uol.com.br/esporte/ultimas-noticias/2020/12/14/muricy-ramalho-sao-paulo-globo.htm
Como um matemático usou álgebra para ganhar US$ 26 milhões ;https://www.uol.com.br/tilt/noticias/redacao/2020/12/15/como-um-matematico-idoso-usou-algebra-para-ganhar-us-26-mi-na-loteria.htm
Paulinho, vocalista do Roupa Nova, morre no Rio por causa da covid ;https://tvefamosos.uol.com.br/noticias/redacao/2020/12/14/paulinho-roupa-nova-morre.htm
Fake news mentem sobre testes, efeitos e alteração de DNA ;https://noticias.uol.com.br/confere/ultimas-noticias/2020/12/15/vacinas-se-tornam-alvo-de-noticias-falsas.htm 
Nova mansão de Brady e Gisele deve agitar 'ilha dos bilionários' ;https://www.uol.com.br/esporte/futebol-americano/ultimas-noticias/2020/12/14/brady-e-gisele-compram-mansao-em-ilha-dos-bilionarios-em-miami.htm
Dormência, câimbra: veja sinais que indicam deficiência nutricional ;https://www.uol.com.br/vivabem/noticias/redacao/2020/12/15/cansaco-dormencia-caimbra-sinais-que-indicam-deficiencia-nutricional.htm
Futuro nos reserva parto sem dor, carne limpa e sexo sem culpa ;http://tab.uol.com.br/colunas/ricardo-abramovay/2020/12/15/robos-sexuais-e-carnes-limpas-vao-salvar-o-mundo.htm
7 pensadores que formaram consciência negra no Brasil ;https://www.uol.com.br/ecoa/reportagens-especiais/pensadores-negros-essenciais-para-a-construcao-da-consciencia-racial/index.htm
Há motivo para deixar no vácuo? Estudo traz efeitos do ghosting ;https://www.uol.com.br/tilt/colunas/sexting/2020/12/15/ghosting-qual-a-motivacao-e-consequencia-em-parar-de-responder-no-tinder.htm
 Stycer: Como sempre, Fazenda esconde do público percentual de votos na reta final  ;https://www.uol.com.br/splash/colunas/mauricio-stycer/2020/12/15/direcao-da-fazenda-esconde-do-publico-percentual-de-votos-das-ultimas-rocas.htm
" Palmeiras na Libertadores; Real e City; os jogos de hoje e onde assistir  ";https://www.uol.com.br/esporte/futebol/ultimas-noticias/2020/12/15/palmeiras-na-libertadores-real-city-os-jogos-de-terca-e-onde-assistir.htm
 Por que a Disney decidiu cortar nomes do Fox Sports em fusão com ESPN  ;https://www.uol.com.br/esporte/ultimas-noticias/2020/12/15/disney-alega-prejuizo-e-alto-salario-para-cortar-equipe-da-fox-veja-pontos.htm
 Câmbio problemático persegue Ford após 7 anos e é alvo de processo  ;https://www.uol.com.br/carros/noticias/redacao/2020/12/15/cambio-problematico-persegue-ford-apos-7-anos-e-pode-gerar-multa-milionaria.htm
 As 4 ações da Bolsa mais indicadas para esta semana  ;https://economia.uol.com.br/mais/ultimas-noticias/2020/12/15/carteiras-recomendadas-investimento-bolsa-acoes.htm
" Imóveis em leilão têm desconto de 77%; apartamento na praia custa R$ 65 mil  ";https://economia.uol.com.br/noticias/redacao/2020/12/15/bancos-leiloes-imoveis-desconto.htm
 Natalia Pasternak usa TikTok para combater as fake news sobre a pandemia  ;https://www.uol.com.br/ecoa/reportagens-especiais/reconstrucao-covid-internet.htm
Como FCA faturou R$ 42 mi em 18h com seu último lançamento ;https://www.uol.com.br/carros/noticias/redacao/2020/12/15/ram-1500-esgota-pre-venda-e-rende-r-42-mi-a-fca-veja-outros-casos.htm
Natal para todos os bolsos: panetones vão de R$ 13 a R$ 485 ;https://www.uol.com.br/nossa/noticias/redacao/2020/12/15/natal-para-todos-os-bolsos-veja-panetones-com-precos-de-r-13-a-r-485.htm
Quem tem previdência privada precisa investir todo mês? Entenda  ;https://economia.uol.com.br/mais/ultimas-noticias/2020/12/15/papo-com-especialista-live-duvidas-previdencia-privada.htm
Conheça a bióloga que criou um diagnóstico nacional para covid-19 ;https://www.uol.com.br/tilt/noticias/redacao/2020/12/07/ela-criou-diagnostico-brazuca-de-covid-como-vacinar-sem-saber-quem-pega.htm
O que são empregos verdes? Economia ambiental pode gerar milhões de vagas ;https://www.uol.com.br/ecoa/ultimas-noticias/2020/12/15/o-que-sao-empregos-verdes-economia-ambiental-pode-gerar-milhoes-de-vagas.htm
Os assuntos envelhecem e às vezes precisam de quarentena ;https://economia.uol.com.br/blogs-e-colunas/coluna/reinaldo-polito/2020/12/15/quando-um-assunto-precisa-de-quarentena.htm
Estou me guardando para quando a vacina chegar ;https://www.uol.com.br/universa/colunas/cris-guterres/2020/12/15/me-guardando-pra-quando-a-vacina-chegar.htm
Alô, galera do barzinho, a pandemia não acabou ;https://www.uol.com.br/universa/colunas/maqui-nobrega/2020/12/15/alo-galera-do-barzinho-a-pandemia-nao-acabou.htm 
Anvisa toma lugar de Deus, distorce lei e escancara politização. CPI já! ;https://noticias.uol.com.br/colunas/reinaldo-azevedo/2020/12/15/anvisa-toma-lugar-de-deus-distorce-lei-e-escancara-politizacao-cpi-ja.htm
2020 e tentam desqualificar mulher por ser baladeira ;https://www.uol.com.br/universa/colunas/nina-lemos/2020/12/15/robinho-2020-e-ainda-tentam-desqualificar-mulher-por-beber-e-ir-a-festas.htm 
A escola tem medo de estudantes trans ;https://www.uol.com.br/ecoa/colunas/opiniao/2020/12/15/pode-a-educacao-transgredir-a-cisnormatividade.htm 
Brasileiro já vê pus no fim do túnel da vacinação ;https://noticias.uol.com.br/colunas/josias-de-souza/2020/12/15/brasileiro-ja-ve-pus-no-fim-do-tunel-da-vacinacao.htm
O desafio em dizer 'não' para as festas de fim de ano ;https://www.uol.com.br/ecoa/colunas/sandra-caselato/2020/12/15/o-desafio-em-dizer-nao-para-as-festas-de-fim-de-ano.htm
Normalização de crimes explica Datafolha bom para Bolsonaro ;https://noticias.uol.com.br/colunas/kennedy-alencar/2020/12/14/normalizacao-de-crimes-e-absurdos-explicam-datafolha-bom-para-bolsonaro.htm
Cuidado para não perdermos soberania da Anvisa ;https://www.uol.com.br/vivabem/colunas/gustavo-cabral/2020/12/14/tenhamos-cuidado-na-forma-que-agimos-para-nao-perdermos-soberania-da-anvisa.htm
Bolsonaro usa a mesma desculpa para covid e desemprego ;https://noticias.uol.com.br/colunas/leonardo-sakamoto/2020/12/14/nao-faco-milagre-bolsonaro-usou-mesma-desculpa-para-covid-e-desemprego.htm
Guerra das vacinas: hashtag #Bolsonaro171 lidera no Twitter ;https://noticias.uol.com.br/colunas/balaio-do-kotscho/2020/12/14/guerra-das-vacinas-hashtag-bolsonaro171.htm
Vacina na terra do Arariboia ;https://www1.folha.uol.com.br/colunas/alvaro-costa-e-silva/2020/12/vacina-na-terra-do-arariboia.shtml
O Sleeping Giants no limiar do bem e do mal ;https://www1.folha.uol.com.br/colunas/joel-pinheiro-da-fonseca/2020/12/o-sleeping-giants-no-limiar-do-bem-e-do-mal.shtml
Impeachment é pouco para Bolsonaro ;https://www1.folha.uol.com.br/colunas/pablo-ortellado/2020/12/impeachmente-e-pouco-para-bolsonaro.shtml
O que fazemos com perda de pais e mães define nossas vidas ;https://www1.folha.uol.com.br/colunas/vera-iaconelli/2020/12/dizer-adeus-aos-pais.shtml
Luta contra covid não é só incompetência ;https://www1.folha.uol.com.br/colunas/helioschwartsman/2020/12/luta-contra-covid-nao-e-so-incompetencia.shtml
Quem tem voz tem que falar, cantar, pregar e animar ;https://www1.folha.uol.com.br/colunas/nizanguanaes/2020/12/caetano-i-am-a-live.shtml
Campanha é ato para transformar dor em esperança ;https://www1.folha.uol.com.br/colunas/cristina-serra/2020/12/uma-dor-assim-pungente.shtml
São tantas possibilidades ;https://www1.folha.uol.com.br/colunas/suzanaherculanohouzel/2020/12/sao-tantas-possibilidades.shtml
Novo inimigo do Zé Gotinha é o governo Bolsonaro ;https://www1.folha.uol.com.br/colunas/manuela-cantuaria/2020/12/novo-inimigo-do-ze-gotinha-e-o-governo-bolsonaro-mais-perigoso-do-que-a-covid-19.shtml
Partido Novo: um partido liberal ou um partido de ricos? ;https://www1.folha.uol.com.br/colunas/celso-rocha-de-barros/2020/12/partido-novo-tem-que-escolher-entre-ser-um-partido-liberal-ou-um-partido-de-ricos.shtml 
Agência de checagem de direita chancela bolsonaristas ;https://saidapeladireita.blogfolha.uol.com.br/2020/12/15/agencia-de-checagem-de-direita-chancela-discurso-bolsonarista-nas-redes/
Uma oportunidade para o Fundo de Participação dos Estados ;https://www1.folha.uol.com.br/colunas/rafael-munoz/2020/12/a-nova-janela-de-oportunidade-para-o-fundo-de-participacao-dos-estados.shtml
O que é necropolítica e como ela está presente no cotidiano do país hoje ;https://www.uol.com.br/ecoa/videos/2020/12/15/conversa-de-portao-14-o-que-e-necropolitica-ou-a-politica-da-morte.htm
Arnaldo: 'Diniz errou demais, e a apatia do time também o atingiu' ;https://www.uol.com.br/esporte/videos/2020/12/15/diniz-errou-demais-a-apatia-do-time-em-campo-tambem-o-atingiu-diz-arnaldo-ribeiro.htm
Sarah Buchwitz, VP da Mastercard: Missão é fazer mundo sem dinheiro físico ;https://economia.uol.com.br/videos/2020/12/15/midia-e-marketing-66-sarah-buchwitz-vp-de-marketing-da-mastercard.htm
Feminismo ajudou Alexandra na luta contra a gordofobia  ;https://www.uol.com.br/play/videos/2020/12/15/entre-likes-para-alexandra-gurgel-a-intenet-vale-sua-saude-mental-pois-foi-atraves-dela-que-se-descobriu.htm
5 erros que fazem você virar 'sócio' do posto de combustível ;https://www.uol.com.br/carros/noticias/redacao/2020/12/14/5-erros-que-fazem-voce-virar-socio-do-posto-de-combustivel-sem-perceber.htm
